###Seconds (since Midnight UTC) 	 Chan 0 rate 	 Error in Chan0 	 Chan 1 rate 	 Error in Chan1 	 Chan 2 rate 	 Error in Chan2 	 Chan 3 rate 	 Error in Chan3 	 Trigger rate	Error in Triggers 	 Raw BA output 	 Temp (DegC) 	 Bus Voltage 	 #GPS satellites in view 
430	19.18272	0.25245	19.46844	0.25432	18.61130	0.24866	18.83721	0.25016	7.95681	0.16259	1039	11.3	3.291	06
731	18.82724	0.25010	19.10299	0.25192	18.69767	0.24924	18.84053	0.25019	7.69767	0.15992	1039	11.3	3.31	08
1032	18.87708	0.25043	19.20598	0.25260	18.61130	0.24866	18.32558	0.24674	7.55814	0.15846	1039	11.3	3.31	05
1333	18.73090	0.24946	19.13953	0.25216	18.55814	0.24830	18.89701	0.25056	7.70100	0.15995	1039	11.4	3.305	07
1634	19.09635	0.25188	19.21595	0.25267	18.70432	0.24928	18.58140	0.24846	7.91030	0.16211	1039	11.2	3.31	06
1934	19.29667	0.25362	19.50667	0.25499	19.12667	0.25250	19.33333	0.25386	8.03667	0.16367	1039	11.2	3.305	08
2235	18.70100	0.24926	19.02326	0.25140	18.26578	0.24634	18.36877	0.24703	7.54153	0.15829	1039	11.2	3.31	07
2536	18.57807	0.24844	18.80399	0.24994	18.35548	0.24694	18.79070	0.24986	7.65116	0.15943	1040	11.2	3.31	06
2837	19.08306	0.25179	19.27575	0.25306	18.94020	0.25085	18.82392	0.25008	7.90365	0.16204	1040	11.2	3.31	07
3138	19.16944	0.25236	19.57475	0.25501	18.85050	0.25025	18.89037	0.25052	7.90033	0.16201	1039	11	3.31	07
3439	19.16279	0.25232	19.42193	0.25402	18.52492	0.24808	18.58472	0.24848	7.82392	0.16122	1040	11.2	3.305	08
3740	18.69435	0.24921	19.47841	0.25439	18.53488	0.24815	19.03322	0.25146	7.68771	0.15981	1040	11.1	3.296	06
4040	19.06667	0.25210	19.65333	0.25595	18.74000	0.24993	19.27333	0.25346	7.87333	0.16200	1040	11	3.31	06
4341	18.61130	0.24866	19.17276	0.25238	18.58804	0.24850	18.83389	0.25014	7.73090	0.16026	1040	11	3.31	07
4642	19.04319	0.25153	19.80066	0.25648	18.71761	0.24937	19.14618	0.25221	8.01329	0.16316	1040	11	3.31	06
4943	19.11960	0.25203	19.32558	0.25339	19.16944	0.25236	18.90698	0.25063	7.87375	0.16174	1040	11	3.305	07
5244	19.00332	0.25126	19.59801	0.25517	18.87043	0.25038	18.93355	0.25080	7.95349	0.16255	1040	11	3.31	05
5545	18.88704	0.25049	19.51163	0.25460	18.83056	0.25012	18.82724	0.25010	7.68771	0.15981	1040	10.9	3.3	07
5846	19.18605	0.25247	19.74419	0.25612	18.93688	0.25083	18.76412	0.24968	7.85050	0.16150	1040	10.9	3.31	07
6146	19.19667	0.25296	19.95000	0.25788	18.96333	0.25142	19.30000	0.25364	8.12000	0.16452	1040	10.8	3.31	07
6447	18.92359	0.25074	19.52824	0.25471	18.61794	0.24870	19.31229	0.25330	8.01661	0.16320	1040	10.9	3.31	07
6748	18.82392	0.25008	19.18605	0.25247	18.50831	0.24797	18.80066	0.24992	7.60133	0.15891	1040	11	3.31	07
7049	18.83389	0.25014	19.56811	0.25497	19.00332	0.25126	19.09635	0.25188	7.63455	0.15926	1040	10.9	3.31	08
7350	18.44518	0.24755	18.67442	0.24908	18.23256	0.24612	18.75748	0.24963	7.44850	0.15731	1040	10.8	3.31	07
7651	18.76080	0.24966	19.24585	0.25286	18.58804	0.24850	18.85050	0.25025	7.80731	0.16105	1040	10.9	3.305	07
7952	18.91694	0.25069	19.52824	0.25471	18.69435	0.24921	19.07973	0.25177	7.75748	0.16054	1040	10.6	3.31	07
8252	18.38000	0.24752	19.03000	0.25186	18.12667	0.24581	18.64333	0.24929	7.41000	0.15716	1040	10.7	3.31	06
8553	19.32226	0.25336	19.58140	0.25506	19.06645	0.25168	19.12957	0.25210	7.88040	0.16180	1040	10.6	3.31	07
8854	18.93688	0.25083	19.32890	0.25341	18.69435	0.24921	18.87708	0.25043	7.71429	0.16009	1040	10.5	3.31	09
9155	18.83056	0.25012	19.24917	0.25288	18.78405	0.24981	18.64784	0.24890	7.70432	0.15999	1040	10.6	3.31	05
9456	18.99668	0.25122	19.35216	0.25356	18.87043	0.25038	18.92027	0.25072	7.81063	0.16109	1040	10.6	3.3	05
9757	19.06312	0.25166	19.21595	0.25267	18.81395	0.25001	18.99003	0.25118	7.84718	0.16146	1040	10.6	3.305	06
10058	19.18272	0.25245	19.36877	0.25367	18.88704	0.25049	18.97674	0.25109	7.91694	0.16218	1040	10.5	3.31	04
10358	19.00000	0.25166	19.42333	0.25445	18.65667	0.24938	18.89667	0.25098	7.81000	0.16135	1040	10.5	3.31	08
